Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
,Faeroe Islands,4/18/2020 07:21,184,0,171,5846
,El Salvador,4/18/2020 07:21,177,7,38,9267
,Mali,4/18/2020 07:21,171,13,34,0
,Martinique,4/18/2020 07:21,158,8,73,0
,Tanzania,4/18/2020 07:21,147,5,11,0
,Guadeloupe,4/18/2020 07:21,145,8,67,0
,Congo,4/18/2020 07:21,143,6,11,0
,Jamaica,4/18/2020 07:21,143,5,25,1424
,Rwanda,4/18/2020 07:21,143,0,65,6237
,Brunei,4/18/2020 07:21,136,1,112,11089
,Gibraltar,4/18/2020 07:21,132,0,105,1760
,Cambodia,4/18/2020 07:21,122,0,98,5768
,Madagascar,4/18/2020 07:21,117,0,33,2357
,Somalia,4/18/2020 07:21,116,6,2,0
,Trinidad and Tobago,4/18/2020 07:21,114,8,20,1298
,Gabon,4/18/2020 07:21,108,1,7,572
,Ethiopia,4/18/2020 07:21,96,3,15,6231
,Aruba,4/18/2020 07:21,96,2,43,1298
,French Guiana,4/18/2020 07:21,96,0,61,0
,Monaco,4/18/2020 07:21,94,3,20,0
,Myanmar,4/18/2020 07:21,88,4,5,3236
,Bermuda,4/18/2020 07:21,83,5,35,552
,Togo,4/18/2020 07:21,83,5,48,3926
,Liechtenstein,4/18/2020 07:21,79,1,55,900
,Equatorial Guinea,4/18/2020 07:21,79,0,4,854
,Liberia,4/18/2020 07:21,76,7,7,0
,Barbados,4/18/2020 07:21,75,5,15,965
,Cayman Islands,4/18/2020 07:21,61,1,7,690
,Sint Maarten,4/18/2020 07:21,57,9,12,163
,Guyana,4/18/2020 07:21,57,6,9,260
,Cabo Verde,4/18/2020 07:21,56,1,1,0
,French Polynesia,4/18/2020 07:21,55,0,0,920
,Uganda,4/18/2020 07:21,55,0,20,8855
,Bahamas,4/18/2020 07:21,54,9,6,0
,Zambia,4/18/2020 07:21,52,2,30,2191
,Libya,4/18/2020 07:21,49,1,11,699
Macau,Macau,4/18/2020 07:21,45,0,16,0
,Haiti,4/18/2020 07:21,43,3,0,365
,Guinea-Bissau,4/18/2020 07:21,43,0,0,1500
,Syria,4/18/2020 07:21,38,2,5,0
,Saint Martin,4/18/2020 07:21,35,2,13,0
,Benin,4/18/2020 07:21,35,1,18,0
,Eritrea,4/18/2020 07:21,35,0,0,0
,Mozambique,4/18/2020 07:21,34,0,2,898
,Sudan,4/18/2020 07:21,33,6,4,0
,Mongolia,4/18/2020 07:21,31,0,5,1450
,Nepal,4/18/2020 07:21,30,0,2,15800
,Maldives,4/18/2020 07:21,28,0,16,3497
,Chad,4/18/2020 07:21,27,0,5,0
,Sierra Leone,4/18/2020 07:21,26,0,0,0
,Zimbabwe,4/18/2020 07:21,24,3,2,1299
,Antigua and Barbuda,4/18/2020 07:21,23,3,3,73
,Angola,4/18/2020 07:21,19,2,5,0
,Laos,4/18/2020 07:21,19,0,2,1288
,Belize,4/18/2020 07:21,18,2,0,651
,New Caledonia,4/18/2020 07:21,18,0,14,3316
,Timor-Leste,4/18/2020 07:21,18,0,1,0
,Malawi,4/18/2020 07:21,17,2,3,417
,Fiji,4/18/2020 07:21,17,0,0,0
,Eswatini,4/18/2020 07:21,16,1,8,714
,Dominica,4/18/2020 07:21,16,0,8,345
,Namibia,4/18/2020 07:21,16,0,4,362
,Botswana,4/18/2020 07:21,15,1,0,3602
,Saint Lucia,4/18/2020 07:21,15,0,11,319
,Curacao,4/18/2020 07:21,14,1,10,269
,Grenada,4/18/2020 07:21,14,0,6,92
,Saint Kitts and Nevis,4/18/2020 07:21,14,0,0,234
,CAR,4/18/2020 07:21,12,0,4,0
,St. Vincent Grenadines,4/18/2020 07:21,12,0,1,87
,Turks and Caicos,4/18/2020 07:21,11,1,0,83
,Falkland Islands,4/18/2020 07:21,11,0,1,137
,Greenland,4/18/2020 07:21,11,0,11,1019
,Montserrat,4/18/2020 07:21,11,0,1,36
,Seychelles,4/18/2020 07:21,11,0,5,0
,Suriname,4/18/2020 07:21,10,1,6,0
,MS Zaandam,4/18/2020 07:21,9,2,0,0
,Gambia,4/18/2020 07:21,9,1,2,281
,Nicaragua,4/18/2020 07:21,9,1,4,0
,Vatican City,4/18/2020 07:21,8,0,2,0
,Mauritania,4/18/2020 07:21,7,1,2,713
,Papua New Guinea,4/18/2020 07:21,7,0,0,167
,St. Barth,4/18/2020 07:21,6,0,4,0
,Western Sahara,4/18/2020 07:21,6,0,0,0
,Burundi,4/18/2020 07:21,5,1,0,80
,Bhutan,4/18/2020 07:21,5,0,2,7913
,British Virgin Islands,4/18/2020 07:21,4,0,2,0
,Sao Tome and Principe,4/18/2020 07:21,4,0,0,19
,South Sudan,4/18/2020 07:21,4,0,0,0
,Anguilla,4/18/2020 07:21,3,0,1,0
,Caribbean Netherlands,4/18/2020 07:21,3,0,0,10
,Saint Pierre Miquelon,4/18/2020 07:21,1,0,0,0
,Yemen,4/18/2020 07:21,1,0,0,0
