Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
,New Zealand,4/23/2020 08:44,1451,14,1036,94797,2
,Lithuania,4/23/2020 08:44,1370,38,357,76973,17
,Bosnia and Herzegovina,4/23/2020 08:44,1368,53,460,20125,4
,Slovenia,4/23/2020 08:44,1353,79,205,44435,24
,North Macedonia,4/23/2020 08:44,1259,56,272,13000,8
,Slovakia,4/23/2020 08:44,1244,14,284,52649,7
,Cuba,4/23/2020 08:44,1189,40,341,30416,16
,Afghanistan,4/23/2020 08:44,1176,40,166,6422,7
,Cameroon,4/23/2020 08:44,1163,43,331,0,33
,Ghana,4/23/2020 08:44,1154,9,99,68591,4
Hong Kong,Hong Kong,4/23/2020 08:44,1034,4,678,131786,8
,Bulgaria,4/23/2020 08:44,1024,49,174,27000,37
,Djibouti,4/23/2020 08:44,974,2,183,10272,0
,Ivory Coast,4/23/2020 08:44,952,14,310,0,0
,Tunisia,4/23/2020 08:44,909,38,190,18861,32
,Cyprus,4/23/2020 08:44,790,13,98,37081,15
,Nigeria,4/23/2020 08:44,782,25,197,8003,2
,Latvia,4/23/2020 08:44,761,11,133,39336,5
,Guinea,4/23/2020 08:44,761,6,164,0,0
,Andorra,4/23/2020 08:44,723,37,309,1673,17
Yokohama,Japan,4/23/2020 08:44,712,13,644,0,7
,Lebanon,4/23/2020 08:44,682,22,113,22853,26
,Costa Rica,4/23/2020 08:44,681,6,180,11766,6
,Niger,4/23/2020 08:44,662,22,193,4832,0
,Albania,4/23/2020 08:44,634,27,356,6269,4
,Kyrgyzstan,4/23/2020 08:44,612,7,254,26147,5
,Burkina Faso,4/23/2020 08:44,609,39,389,0,0
,Bolivia,4/23/2020 08:44,609,37,44,4420,3
,Uruguay,4/23/2020 08:44,543,12,324,13923,10
,Honduras,4/23/2020 08:44,510,46,30,2535,10
,Channel Islands,4/23/2020 08:44,498,28,285,3320,0
,San Marino,4/23/2020 08:44,488,40,62,1872,4
,Palestine,4/23/2020 08:44,474,4,71,17329,0
,Malta,4/23/2020 08:44,444,3,165,26148,2
,Senegal,4/23/2020 08:44,442,6,253,466,1
,Jordan,4/23/2020 08:44,435,7,315,35000,5
Taiwan,Taiwan,4/23/2020 08:44,426,6,236,56853,0
,Georgia,4/23/2020 08:44,416,5,107,8375,6
,Reunion,4/23/2020 08:44,410,0,238,0,2
,DRC,4/23/2020 08:44,359,25,45,0,0
,Sri Lanka,4/23/2020 08:44,330,7,105,7393,2
,Mauritius,4/23/2020 08:44,329,9,261,9755,3
,Mayotte,4/23/2020 08:44,326,4,125,2100,4
,Guatemala,4/23/2020 08:44,316,8,24,7200,3
,Montenegro,4/23/2020 08:44,315,5,116,5085,7
,Isle of Man,4/23/2020 08:44,307,15,212,2654,20
,Kenya,4/23/2020 08:44,303,14,74,14704,2
,Mali,4/23/2020 08:44,293,17,73,2023,0
,Venezuela,4/23/2020 08:44,288,10,122,347236,4
,Somalia,4/23/2020 08:44,286,8,4,0,2
,Tanzania,4/23/2020 08:44,284,10,11,0,7
,Vietnam,4/23/2020 08:44,268,0,223,206253,8
,El Salvador,4/23/2020 08:44,237,7,63,14375,3
,Jamaica,4/23/2020 08:44,233,6,27,1936,0
