Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M,id
glossodia,2756,2815,20 to 39,GLOSSODIA,,,440.0,0.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2336
gordon,2072,7679,40 to 59,GORDON,0.94,580.0,1000.0,2.21,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4382
granville,2142,15332,20 to 39,GRANVILLE,0.42,400.0,480.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4016
grasmere,2570,1981,60+,GRASMERE,,,746.2524933214007,1.51,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.664
grays-point,2232,3113,40 to 59,GRAYS POINT,,,760.0,1.16,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3729
great-mackerel-beach,2108,0,,GREAT MACKEREL BEACH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3121
green-valley,2168,12518,40 to 59,GREEN VALLEY,,390.0,420.0,0.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1063
greenacre,2190,24372,20 to 39,GREENACRE,0.62,450.0,573.0,0.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1045
greenfield-park,2176,5100,40 to 59,GREENFIELD PARK,,,480.0,0.77,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3873
greenhills-beach,2230,0,,GREENHILLS BEACH,,,988.9446664166568,2.28,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2762
greenwich,2065,5618,20 to 39,GREENWICH,0.74,555.0,900.0,2.95,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3838
gregory-hills,2557,4972,20 to 39,GREGORY HILLS,,390.0,500.0,0.66,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4390
greystanes,2145,22796,20 to 39,GREYSTANES,0.58,420.0,500.0,0.78,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1116
grose-vale,2753,1270,40 to 59,GROSE VALE,,,550.0,1.15,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2113
grose-wold,2753,633,40 to 59,GROSE WOLD,,,475.0,0.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2215
guildford-west,2161,4919,20 to 39,GUILDFORD WEST,,,550.0,0.74,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3174
guildford,2161,22342,20 to 39,GUILDFORD,0.42,390.0,500.0,0.73,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1047
gymea-bay,2227,6878,40 to 59,GYMEA BAY,0.9,,725.0,1.27,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3298
gymea,2227,7577,40 to 59,GYMEA,0.71,500.0,680.0,1.04,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4376
haberfield,2045,6469,40 to 59,HABERFIELD,,438.0,800.0,2.05,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3417
hammondville,2170,3487,60+,HAMMONDVILLE,,450.0,510.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.31
harrington-park,2567,10653,40 to 59,HARRINGTON PARK,,,540.0,0.91,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2725
harris-park,2150,5797,20 to 39,HARRIS PARK,0.48,390.0,485.0,0.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3669
hassall-grove,2761,4510,40 to 59,HASSALL GROVE,,,400.0,0.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3178
haymarket,2000,7341,20 to 39,HAYMARKET,0.96,800.0,691.7060439938025,1.34,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4334
heathcote,2233,5998,40 to 59,HEATHCOTE,0.71,518.0,630.0,0.86,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3821
hebersham,2770,5686,20 to 39,HEBERSHAM,,300.0,350.0,0.52,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3641
heckenberg,2168,3082,20 to 39,HECKENBERG,,,383.0,0.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.918
henley,2111,470,40 to 59,HENLEY,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1979
hillsdale,2036,5494,20 to 39,HILLSDALE,0.61,450.0,625.0,1.12,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1663
hinchinbrook,2168,11203,40 to 59,HINCHINBROOK,,390.0,440.0,0.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1574
hobartville,2753,2761,20 to 39,HOBARTVILLE,,,440.0,0.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.922
holroyd,2142,1284,20 to 39,HOLROYD,,440.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.484
holsworthy,2173,5481,20 to 39,HOLSWORTHY,,508.0,500.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2267
homebush-west,2140,8607,20 to 39,HOMEBUSH WEST,0.55,480.0,630.0,1.14,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.725
homebush,2140,6991,20 to 39,HOMEBUSH,0.66,500.0,545.0,0.95,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.285
horningsea-park,2171,3733,40 to 59,HORNINGSEA PARK,,,520.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4537
hornsby-heights,2077,6290,40 to 59,HORNSBY HEIGHTS,,,650.0,1.07,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1000
hornsby,2077,22173,20 to 39,HORNSBY,0.63,450.0,580.0,1.08,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1667
horsley-park,2175,1861,40 to 59,HORSLEY PARK,,,425.0,2.33,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.678
hoxton-park,2171,4354,20 to 39,HOXTON PARK,,,460.0,0.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4538
hunters-hill,2110,9525,40 to 59,HUNTERS HILL,0.84,500.0,1000.0,2.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4524
huntingwood,2148,0,60+,HUNTINGWOOD,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2727
huntleys-cove,2111,745,60+,HUNTLEYS COVE,1.25,760.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.644
huntleys-point,2111,138,40 to 59,HUNTLEYS POINT,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2292
hurlstone-park,2193,4682,40 to 59,HURLSTONE PARK,0.65,475.0,680.0,1.23,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2919
hurstville-grove,2220,2678,40 to 59,HURSTVILLE GROVE,,450.0,620.0,1.41,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3526
hurstville,2220,29829,20 to 39,HURSTVILLE,0.68,525.0,570.0,1.26,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1192
illawong,2234,7262,40 to 59,ILLAWONG,,535.0,725.0,1.18,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4398
ingleburn,2565,15046,20 to 39,INGLEBURN,0.4,370.0,420.0,0.64,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1972
ingleside,2101,986,40 to 59,INGLESIDE,,,765.0,1.57,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2104
jamisontown,2750,5480,20 to 39,JAMISONTOWN,0.38,350.0,440.0,0.64,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2541
jannali,2226,6178,40 to 59,JANNALI,0.58,450.0,598.0,0.96,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2547
jordan-springs,2747,0,,JORDAN SPRINGS,,360.0,530.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2847
kangaroo-point,2224,549,40 to 59,KANGAROO POINT,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4580
kareela,2232,3456,60+,KAREELA,,,750.0,1.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2477
kearns,2558,2756,40 to 59,KEARNS,,,450.0,0.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3144
kellyville-ridge,2155,10471,20 to 39,KELLYVILLE RIDGE,0.52,460.0,600.0,0.95,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3643
kellyville,2155,27976,40 to 59,KELLYVILLE,0.78,500.0,640.0,1.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4483
kemps-creek,2178,2274,40 to 59,KEMPS CREEK,,,475.0,0.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.679
kensington,2033,14985,20 to 39,KENSINGTON,0.78,550.0,880.0,2.71,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1554
kenthurst,2156,5035,40 to 59,KENTHURST,,,568.0,1.99,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3870
kentlyn,2560,746,60+,KENTLYN,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1379
killara,2071,10573,40 to 59,KILLARA,0.86,600.0,1185.0,2.38,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.12
killarney-heights,2087,4477,40 to 59,KILLARNEY HEIGHTS,,650.0,900.0,1.74,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3606
kings-langley,2147,9365,40 to 59,KINGS LANGLEY,,,500.0,0.88,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3565
kings-park,2148,3456,20 to 39,KINGS PARK,,,460.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3642
kingsford,2032,15481,20 to 39,KINGSFORD,0.82,550.0,870.0,1.94,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.218
kingsgrove,2208,12449,40 to 59,KINGSGROVE,,505.0,600.0,1.12,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1069
kingswood,2747,9297,20 to 39,KINGSWOOD,0.45,360.0,380.0,0.59,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2048
kirkham,2570,701,40 to 59,KIRKHAM,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.668
kirrawee,2232,9286,60+,KIRRAWEE,0.73,540.0,650.0,0.98,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4378
kirribilli,2061,3826,20 to 39,KIRRIBILLI,1.48,625.0,1225.0,3.02,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.52
kogarah-bay,2217,2018,40 to 59,KOGARAH BAY,,,670.0,1.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.821
kogarah,2217,15126,20 to 39,KOGARAH,0.57,475.0,575.0,1.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3663
kurmond,2757,859,40 to 59,KURMOND,,,520.0,0.79,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1817
kurnell,2231,2271,40 to 59,KURNELL,,,650.0,1.13,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1905
kurraba-point,2089,0,,KURRABA POINT,2.2,600.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3708
kurrajong,2758,3062,40 to 59,KURRAJONG,,,450.0,1.01,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.925
kyeemagh,2216,907,60+,KYEEMAGH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3076
kyle-bay,2221,1041,40 to 59,KYLE BAY,,,740.0,1.96,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4346
la-perouse,2036,407,40 to 59,LA PEROUSE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.274
lakemba,2195,17031,20 to 39,LAKEMBA,0.38,350.0,500.0,0.84,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4522
lalor-park,2147,7662,20 to 39,LALOR PARK,,340.0,390.0,0.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3720
lane-cove,2066,10817,20 to 39,LANE COVE,0.76,530.0,770.0,2.12,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3842
lane-cove-north,2066,11442,20 to 39,LANE COVE NORTH,0.68,518.0,950.0,1.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2361
lane-cove-west,2066,2625,40 to 59,LANE COVE WEST,,,812.0244438149684,1.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.707
lansdowne,2163,14,20 to 39,LANSDOWNE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.718
lansvale,2166,2554,40 to 59,LANSVALE,,,520.0,0.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1209
laughtondale,2775,81,40 to 59,LAUGHTONDALE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3541
lavender-bay,2060,956,20 to 39,LAVENDER BAY,0.9,550.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4025
leets-vale,2775,57,60+,LEETS VALE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4591
leichhardt,2040,14625,20 to 39,LEICHHARDT,0.88,550.0,750.0,1.3,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3409
len-waters-estate,2171,0,,LEN WATERS ESTATE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1571
leonay,2750,2503,40 to 59,LEONAY,,,490.0,0.75,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2679
leppington,2179,3501,20 to 39,LEPPINGTON,,,540.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1246
lethbridge-park,2770,4730,20 to 39,LETHBRIDGE PARK,,270.0,320.0,0.43,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2424
leumeah,2560,9826,20 to 39,LEUMEAH,0.36,340.0,390.0,0.58,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1201
lewisham,2049,3161,20 to 39,LEWISHAM,0.75,505.0,755.0,1.41,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4360
liberty-grove,2138,2254,20 to 39,LIBERTY GROVE,0.68,500.0,510.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4569
lidcombe,2141,19620,20 to 39,LIDCOMBE,0.65,510.0,560.0,0.92,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1066
lilli-pilli,2229,1378,40 to 59,LILLI PILLI,,,870.0,1.8,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.198
lilyfield,2040,7611,40 to 59,LILYFIELD,0.92,480.0,810.0,1.58,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3645
lindfield,2070,9774,40 to 59,LINDFIELD,0.97,600.0,990.0,2.39,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1188
linley-point,2066,352,40 to 59,LINLEY POINT,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1980
little-bay,2036,4474,20 to 39,LITTLE BAY,0.95,700.0,1000.0,1.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2918
liverpool,2170,27107,20 to 39,LIVERPOOL,0.41,380.0,430.0,0.69,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.585
llandilo,2747,1640,40 to 59,LLANDILO,,,540.0,0.71,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1285
loftus,2232,4135,40 to 59,LOFTUS,,505.0,640.0,0.98,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3525
londonderry,2753,3896,40 to 59,LONDONDERRY,,315.0,460.0,0.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3820
long-point,2564,188,60+,LONG POINT,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2312
longueville,2066,2082,40 to 59,LONGUEVILLE,,,1350.0,3.82,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1807
lovett-bay,2105,141,40 to 59,LOVETT BAY,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2774
lower-macdonald,2775,251,40 to 59,LOWER MACDONALD,,,465.6149641721634,0.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.660
lower-portland,2756,586,40 to 59,LOWER PORTLAND,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3539
lucas-heights,2234,0,60+,LUCAS HEIGHTS,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1184
luddenham,2745,1814,40 to 59,LUDDENHAM,,,560.0,1.39,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2245
lugarno,2210,5616,40 to 59,LUGARNO,,,595.0,1.12,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4508
lurnea,2170,9333,20 to 39,LURNEA,0.5,390.0,445.0,0.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.731
macquarie-fields,2564,13728,20 to 39,MACQUARIE FIELDS,0.4,350.0,390.0,0.55,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2231
macquarie-links,2565,1373,40 to 59,MACQUARIE LINKS,,,600.7952951144721,1.05,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4330
macquarie-park,2113,8153,20 to 39,MACQUARIE PARK,0.73,500.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3592
maianbar,2230,498,40 to 59,MAIANBAR,,,588.0,1.01,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1281
malabar,2036,5423,40 to 59,MALABAR,,513.0,1225.0,1.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2686
manly-vale,2093,6166,20 to 39,MANLY VALE,0.75,550.0,940.0,1.82,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4363
manly,2095,15854,20 to 39,MANLY,1.3,750.0,1400.0,2.88,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3206
maraylya,2765,1240,40 to 59,MARAYLYA,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1195
marayong,2148,7727,20 to 39,MARAYONG,,350.0,400.0,0.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2958
maroota,2756,634,40 to 59,MAROOTA,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2247
maroubra,2035,30681,20 to 39,MAROUBRA,0.82,600.0,900.0,1.8,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1814
marrickville,2204,26607,20 to 39,MARRICKVILLE,0.68,490.0,750.0,1.32,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.496
marsden-park,2765,1009,60+,MARSDEN PARK,,470.0,550.0,0.78,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2214
marsfield,2122,13293,20 to 39,MARSFIELD,0.74,490.0,690.0,1.43,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2226
mascot,2020,14759,20 to 39,MASCOT,0.85,700.0,725.0,1.25,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3583
matraville,2036,9812,40 to 59,MATRAVILLE,0.81,530.0,985.0,1.58,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2358
mays-hill,2145,762,20 to 39,MAYS HILL,,460.0,500.0,0.61,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1455
mcgraths-hill,2756,2550,40 to 59,MCGRATHS HILL,,,480.0,0.71,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.543
mcmahons-point,2060,2283,20 to 39,MCMAHONS POINT,1.42,595.0,1000.0,2.31,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2414
meadowbank,2114,4406,20 to 39,MEADOWBANK,0.6,495.0,375.0,0.33,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4101
mellong,2756,0,60+,MELLONG,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.993
melrose-park,2114,1576,40 to 59,MELROSE PARK,,,600.0,1.04,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.824
menai,2234,10321,40 to 59,MENAI,0.74,540.0,708.0,0.97,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2854
menangle-park,2563,258,20 to 39,MENANGLE PARK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2909
merrylands-west,2160,6596,20 to 39,MERRYLANDS WEST,0.44,400.0,580.0,0.73,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.47
merrylands,2160,29660,20 to 39,MERRYLANDS,0.42,400.0,510.0,0.82,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1300
middle-cove,2068,1327,40 to 59,MIDDLE COVE,,,1100.0,1.81,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2916
middle-dural,2158,1011,60+,MIDDLE DURAL,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4438
middleton-grange,2171,5181,20 to 39,MIDDLETON GRANGE,,,550.0,0.77,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1569
miller,2168,3230,40 to 59,MILLER,,313.0,400.0,0.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1605
millers-point,2000,1494,40 to 59,MILLERS POINT,2.1,850.0,1175.0,2.86,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1579
milperra,2214,3938,40 to 59,MILPERRA,,,570.0,0.84,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.546
milsons-passage,2083,16,60+,MILSONS PASSAGE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2413
milsons-point,2061,2166,20 to 39,MILSONS POINT,1.18,760.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4024
minchinbury,2770,5626,20 to 39,MINCHINBURY,,440.0,470.0,0.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2549
minto-heights,2566,365,60+,MINTO HEIGHTS,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.466
minto,2566,12560,20 to 39,MINTO,0.36,330.0,420.0,0.59,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.598
miranda,2228,15269,20 to 39,MIRANDA,0.64,470.0,700.0,1.08,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2614
mogo-creek,2775,0,60+,MOGO CREEK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.403
mona-vale,2103,10668,60+,MONA VALE,1.2,623.0,895.0,1.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2511
monterey,2217,4539,40 to 59,MONTEREY,0.74,460.0,650.0,1.33,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3132
moore-park,2021,18,20 to 39,MOORE PARK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2768
moorebank,2170,9739,20 to 39,MOOREBANK,0.5,445.0,560.0,0.87,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1299
morning-bay,2105,39,60+,MORNING BAY,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.652
mortdale,2223,10415,20 to 39,MORTDALE,0.58,420.0,580.0,1.05,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3553
mortlake,2137,1043,20 to 39,MORTLAKE,0.88,575.0,695.0,1.35,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2302
mosman,2088,28470,40 to 59,MOSMAN,1.0,550.0,1500.0,3.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1387
mount-annan,2567,11696,40 to 59,MOUNT ANNAN,,340.0,460.0,0.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1863
mount-colah,2079,7093,40 to 59,MOUNT COLAH,,435.0,590.0,0.94,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1727
mount-druitt,2770,16730,20 to 39,MOUNT DRUITT,0.36,330.0,395.0,0.64,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2550
mount-kuring-gai,2080,1709,40 to 59,MOUNT KURING-GAI,,,554.15412829812,0.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1728
mount-lewis,2190,1194,20 to 39,MOUNT LEWIS,,,550.0,0.89,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2319
mount-pritchard,2170,9960,20 to 39,MOUNT PRITCHARD,,360.0,420.0,0.61,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1041
mount-vernon,2178,1188,40 to 59,MOUNT VERNON,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3137
mountain-lagoon,2758,78,40 to 59,MOUNTAIN LAGOON,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3231
mulgoa,2745,1898,40 to 59,MULGOA,,,575.0,0.94,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2798
mulgrave,2756,76,5 to 19,MULGRAVE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1827
narellan-vale,2567,7188,40 to 59,NARELLAN VALE,,345.0,450.0,0.66,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1959
narellan,2567,3584,20 to 39,NARELLAN,,450.0,430.0,0.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2685
naremburn,2065,5885,20 to 39,NAREMBURN,1.1,620.0,850.0,2.08,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.275
narrabeen,2101,8194,60+,NARRABEEN,0.84,560.0,873.0,2.35,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3314
narraweena,2099,6625,40 to 59,NARRAWEENA,,565.0,775.0,1.41,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.318
narwee,2209,5622,20 to 39,NARWEE,0.49,400.0,600.0,0.97,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1075
nelson,2765,444,60+,NELSON,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4494
neutral-bay,2089,10478,20 to 39,NEUTRAL BAY,0.9,560.0,1000.0,2.3,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3548
newington,2127,5798,20 to 39,NEWINGTON,0.7,520.0,730.0,1.11,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3368
newport,2106,9283,40 to 59,NEWPORT,0.82,578.0,910.0,1.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2833
newtown,2042,15027,20 to 39,NEWTOWN,0.68,450.0,770.0,1.31,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1971
normanhurst,2076,5280,40 to 59,NORMANHURST,0.72,465.0,650.0,1.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2831
north-balgowlah,2093,3653,40 to 59,NORTH BALGOWLAH,,480.0,1125.0,2.06,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4362
north-bondi,2026,9162,20 to 39,NORTH BONDI,1.18,700.0,1500.0,2.75,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4273
north-curl-curl,2099,4108,40 to 59,NORTH CURL CURL,,550.0,1150.0,2.21,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2102
north-epping,2121,4538,40 to 59,NORTH EPPING,,,685.0,1.27,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3416
north-kellyville,2155,0,,NORTH KELLYVILLE,0.67,455.0,650.0,1.04,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2228
north-manly,2100,3074,40 to 59,NORTH MANLY,,585.0,990.0,1.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3887
north-narrabeen,2101,5864,40 to 59,NORTH NARRABEEN,,538.0,850.0,1.36,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2033
north-parramatta,2151,13253,20 to 39,NORTH PARRAMATTA,0.55,400.0,530.0,0.96,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4052
north-richmond,2754,4983,40 to 59,NORTH RICHMOND,0.53,380.0,450.0,0.69,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2100
north-rocks,2151,7978,40 to 59,NORTH ROCKS,0.8,498.0,530.0,1.16,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4189
