Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M,id
church-point,2105,983,60+,CHURCH POINT,,,1025.0,1.61,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.653
claremont-meadows,2747,4782,20 to 39,CLAREMONT MEADOWS,,,420.0,0.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.541
clarendon,2756,110,40 to 59,CLARENDON,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.576
clareville,2107,753,60+,CLAREVILLE,,,973.1341013941644,2.22,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3025
claymore,2559,2651,5 to 19,CLAYMORE,,,485.0,0.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2609
clemton-park,2206,1655,60+,CLEMTON PARK,,520.0,650.0,1.11,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.898
clontarf,2093,1742,40 to 59,CLONTARF,,,1700.0,3.83,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2301
clovelly,2031,4752,20 to 39,CLOVELLY,1.25,690.0,1450.0,2.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.485
clyde,2142,3,20 to 39,CLYDE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4437
coasters-retreat,2108,43,60+,COASTERS RETREAT,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2120
cobbitty,2570,2062,40 to 59,COBBITTY,,,500.0,0.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1173
colebee,2761,1928,20 to 39,COLEBEE,,,600.0,0.92,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2674
collaroy-plateau,2097,0,,COLLAROY PLATEAU,,460.0,890.0,1.59,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3550
collaroy,2097,7860,20 to 39,COLLAROY,0.89,550.0,995.0,2.41,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1227
colo,2756,63,5 to 19,COLO,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3779
colo-heights,2756,338,40 to 59,COLO HEIGHTS,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1333
colyton,2760,8445,20 to 39,COLYTON,,320.0,390.0,0.58,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2682
como,2226,3984,40 to 59,COMO,,493.0,670.0,1.22,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3146
concord-west,2138,5910,40 to 59,CONCORD WEST,,365.0,690.0,1.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.286
concord,2137,14531,40 to 59,CONCORD,0.85,480.0,710.0,1.77,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3
condell-park,2200,11564,20 to 39,CONDELL PARK,0.65,520.0,600.0,0.84,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.540
connells-point,2221,2816,40 to 59,CONNELLS POINT,,600.0,665.0,1.77,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1701
constitution-hill,2145,3966,20 to 39,CONSTITUTION HILL,,490.0,485.0,0.78,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3879
coogee,2034,15219,20 to 39,COOGEE,1.1,650.0,1100.0,2.45,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1711
cottage-point,2084,105,60+,COTTAGE POINT,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.520
cowan,2081,647,40 to 59,COWAN,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1908
cranebrook,2749,15758,20 to 39,CRANEBROOK,,400.0,450.0,0.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2678
cremorne-point,2090,2409,40 to 59,CREMORNE POINT,1.4,700.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2817
cremorne,2090,11229,20 to 39,CREMORNE,1.03,595.0,1020.0,2.33,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2830
cromer,2099,7584,40 to 59,CROMER,,550.0,860.0,1.46,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2941
cronulla,2230,18083,20 to 39,CRONULLA,0.76,450.0,850.0,1.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1207
crows-nest,2065,4802,20 to 39,CROWS NEST,0.84,550.0,895.0,1.85,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.814
croydon-park,2133,11017,40 to 59,CROYDON PARK,0.57,395.0,620.0,1.28,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.45
croydon,2132,10608,40 to 59,CROYDON,0.73,465.0,668.0,1.35,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.628
cumberland-reach,2756,182,40 to 59,CUMBERLAND REACH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1662
curl-curl,2096,2419,40 to 59,CURL CURL,1.19,800.0,948.0,2.26,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.769
currans-hill,2567,5291,20 to 39,CURRANS HILL,,350.0,440.0,0.62,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4317
currawong-beach,2108,0,,CURRAWONG BEACH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3119
daceyville,2032,1204,60+,DACEYVILLE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3327
dangar-island,2083,310,40 to 59,DANGAR ISLAND,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.780
darling-point,2027,4192,60+,DARLING POINT,1.9,850.0,2000.0,5.47,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.928
darlinghurst,2010,11322,20 to 39,DARLINGHURST,0.83,590.0,900.0,1.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3672
darlington,2008,3092,20 to 39,DARLINGTON,,593.0,800.0,1.33,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3743
davidson,2085,2841,40 to 59,DAVIDSON,,,973.0,1.43,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.229
dawes-point,2000,359,40 to 59,DAWES POINT,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3709
dean-park,2761,3226,20 to 39,DEAN PARK,,,390.0,0.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2062
dee-why,2099,21518,20 to 39,DEE WHY,0.73,540.0,800.0,1.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1182
denham-court,2565,1982,20 to 39,DENHAM COURT,,465.0,548.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.711
denistone-east,2112,2246,40 to 59,DENISTONE EAST,,600.0,750.0,1.31,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3682
denistone-west,2114,935,40 to 59,DENISTONE WEST,,,590.0,1.01,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2512
denistone,2114,3750,40 to 59,DENISTONE,0.94,523.0,658.0,1.46,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1630
