Confirmed,DayElapsed,Region
469,49,Beijing
456,48,Beijing
452,47,Beijing
437,46,Beijing
437,45,Beijing
436,44,Beijing
435,43,Beijing
435,42,Beijing
429,41,Beijing
428,40,Beijing
428,39,Beijing
426,38,Beijing
422,37,Beijing
418,36,Beijing
414,35,Beijing
414,34,Beijing
414,33,Beijing
413,32,Beijing
411,31,Beijing
410,30,Beijing
410,29,Beijing
400,28,Beijing
400,27,Beijing
399,26,Beijing
399,25,Beijing
399,24,Beijing
396,23,Beijing
395,22,Beijing
393,21,Beijing
387,20,Beijing
381,19,Beijing
380,18,Beijing
375,17,Beijing
372,16,Beijing
366,15,Beijing
352,14,Beijing
342,13,Beijing
337,12,Beijing
326,11,Beijing
315,10,Beijing
297,9,Beijing
274,8,Beijing
253,7,Beijing
228,6,Beijing
212,5,Beijing
191,4,Beijing
139,3,Beijing
121,2,Beijing
111,1,Beijing
290,5,Maryland
249,4,Maryland
193,3,Maryland
149,2,Maryland
107,1,Maryland
106,1,Rhode Island
633,55,Jiangsu
633,54,Jiangsu
633,53,Jiangsu
631,52,Jiangsu
631,51,Jiangsu
631,50,Jiangsu
631,49,Jiangsu
631,48,Jiangsu
631,47,Jiangsu
631,46,Jiangsu
631,45,Jiangsu
631,44,Jiangsu
631,43,Jiangsu
631,42,Jiangsu
631,41,Jiangsu
631,40,Jiangsu
631,39,Jiangsu
631,38,Jiangsu
631,37,Jiangsu
631,36,Jiangsu
631,35,Jiangsu
631,34,Jiangsu
631,33,Jiangsu
631,32,Jiangsu
631,31,Jiangsu
631,30,Jiangsu
631,29,Jiangsu
631,28,Jiangsu
631,27,Jiangsu
631,26,Jiangsu
631,25,Jiangsu
631,24,Jiangsu
631,23,Jiangsu
631,22,Jiangsu
631,21,Jiangsu
629,20,Jiangsu
626,19,Jiangsu
617,18,Jiangsu
604,17,Jiangsu
593,16,Jiangsu
570,15,Jiangsu
543,14,Jiangsu
515,13,Jiangsu
492,12,Jiangsu
468,11,Jiangsu
439,10,Jiangsu
408,9,Jiangsu
373,8,Jiangsu
341,7,Jiangsu
308,6,Jiangsu
271,5,Jiangsu
236,4,Jiangsu
168,3,Jiangsu
168,2,Jiangsu
129,1,Jiangsu
235,4,Minnesota
169,3,Minnesota
137,2,Minnesota
115,1,Minnesota
698,7,Pennsylvania
516,6,Pennsylvania
405,5,Pennsylvania
311,4,Pennsylvania
206,3,Pennsylvania
157,2,Pennsylvania
115,1,Pennsylvania
1018,58,Hunan
1018,57,Hunan
1018,56,Hunan
1018,55,Hunan
1018,54,Hunan
1018,53,Hunan
1018,52,Hunan
1018,51,Hunan
1018,50,Hunan
1018,49,Hunan
1018,48,Hunan
1018,47,Hunan
1018,46,Hunan
1018,45,Hunan
1018,44,Hunan
1018,43,Hunan
1018,42,Hunan
1018,41,Hunan
1018,40,Hunan
1018,39,Hunan
1018,38,Hunan
1018,37,Hunan
1018,36,Hunan
1018,35,Hunan
1018,34,Hunan
1017,33,Hunan
1017,32,Hunan
1016,31,Hunan
1016,30,Hunan
1016,29,Hunan
1016,28,Hunan
1013,27,Hunan
1011,26,Hunan
1010,25,Hunan
1008,24,Hunan
1007,23,Hunan
1006,22,Hunan
1004,21,Hunan
1001,20,Hunan
988,19,Hunan
968,18,Hunan
946,17,Hunan
912,16,Hunan
879,15,Hunan
838,14,Hunan
803,13,Hunan
772,12,Hunan
711,11,Hunan
661,10,Hunan
593,9,Hunan
521,8,Hunan
463,7,Hunan
332,6,Hunan
332,5,Hunan
277,4,Hunan
221,3,Hunan
100,2,Hunan
100,1,Hunan
577,58,Chongqing
577,57,Chongqing
576,56,Chongqing
576,55,Chongqing
576,54,Chongqing
