Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
,Italy,04/01/2020 04:30,105792,12428,15729,2020-04-01 20:30:00,77635,60480000,45.6209,9.768892999999998
,Spain,04/01/2020 04:30,95923,8464,19259,2020-04-01 20:30:00,68200,46660000,39.3262345,-4.838064900000001
,Germany,04/01/2020 04:30,71808,775,16100,2020-04-01 20:30:00,54933,82790000,51.0834196,10.4234469
,France,04/01/2020 04:30,52128,3523,9444,2020-04-01 20:30:00,39161,66990000,46.603353999999996,1.8883334999999999
,Iran,04/01/2020 04:30,44605,2898,14656,2020-04-01 20:30:00,27051,81160000,32.6475314,54.56435160000001
,UK,04/01/2020 04:30,25150,1789,135,2020-04-01 20:30:00,23226,66440000,54.702354500000006,-3.2765752999999997
,Switzerland,04/01/2020 04:30,16605,433,1823,2020-04-01 20:30:00,14349,8570000,46.7985624,8.231973599999998
,Turkey,04/01/2020 04:30,13531,214,243,2020-04-01 20:30:00,13074,80810000,38.959759399999996,34.9249653
Brussels,Belgium,04/01/2020 04:30,12775,705,1696,2020-04-01 20:30:00,10374,11400000,50.8436709,4.3674367
,Netherlands,04/01/2020 04:30,12595,1039,250,2020-04-01 20:30:00,11306,17180000,52.500169799999995,5.7480820999999995
,Austria,04/01/2020 04:30,10366,128,1095,2020-04-01 20:30:00,9143,8822000,47.2000338,13.199959
,South Korea,04/01/2020 04:30,9887,165,5567,2020-04-01 20:30:00,4155,51470000,35.8713,128.6018
,Portugal,04/01/2020 04:30,7443,160,43,2020-04-01 20:30:00,7240,10290000,40.0332629,-7.889626299999999
,Brazil,04/01/2020 04:30,5812,202,127,2020-04-01 20:30:00,5483,209300000,-10.333333300000001,-53.2
,Israel,04/01/2020 04:30,5591,21,226,2020-04-01 20:30:00,5344,8712000,31.531311300000002,34.8667654
,Norway,04/01/2020 04:30,4651,39,13,2020-04-01 20:30:00,4599,5368000,60.5000209,9.099971499999999
,Sweden,04/01/2020 04:30,4435,180,16,2020-04-01 20:30:00,4239,10120000,59.67497120000001,14.5208584
,Czechia,04/01/2020 04:30,3330,32,45,2020-04-01 20:30:00,3253,10650000,49.816700299999994,15.4749544
,Ireland,04/01/2020 04:30,3235,71,5,2020-04-01 20:30:00,3159,4830000,52.865196,-7.9794599
,Malaysia,04/01/2020 04:30,2908,45,645,2020-04-01 20:30:00,2218,31620000,4.5693754,102.2656823
,Denmark,04/01/2020 04:30,2860,90,1,2020-04-01 20:30:00,2769,5603000,55.670249,10.333328300000002
,Russia,04/01/2020 04:30,2777,24,190,2020-04-01 20:30:00,2563,144500000,64.6863136,97.7453061
,Chile,04/01/2020 04:30,2738,12,156,2020-04-01 20:30:00,2570,18050000,-31.7613365,-71.3187697
,Poland,04/01/2020 04:30,2347,35,7,2020-04-01 20:30:00,2305,37980000,52.215933,19.134422
,Philippines,04/01/2020 04:30,2311,96,50,2020-04-01 20:30:00,2165,104900000,12.750348599999999,122.7312101
,Ecuador,04/01/2020 04:30,2302,79,58,2020-04-01 20:30:00,2165,16620000,-1.3397668,-79.3666965
,Romania,04/01/2020 04:30,2245,85,220,2020-04-01 20:30:00,1940,19530000,45.98521289999999,24.6859225
,Japan,04/01/2020 04:30,2178,57,424,2020-04-01 20:30:00,1697,126800000,36.5748441,139.2394179
,Luxembourg,04/01/2020 04:30,2178,23,80,2020-04-01 20:30:00,2075,602005,49.8158683,6.1296751
,Pakistan,04/01/2020 04:30,2042,26,82,2020-04-01 20:30:00,1934,197000000,30.3308401,71.247499
,Thailand,04/01/2020 04:30,1771,12,416,2020-04-01 20:30:00,1343,69040000,14.8971921,100.83273
,Indonesia,04/01/2020 04:30,1677,157,103,2020-04-01 20:30:00,1417,264000000,-2.4833826,117.89028529999999
,India,04/01/2020 04:30,1590,45,148,2020-04-01 20:30:00,1397,1339000000,22.3511148,78.6677428
,Saudi Arabia,04/01/2020 04:30,1563,10,165,2020-04-01 20:30:00,1388,32940000,25.624261800000003,42.352832799999995
,Finland,04/01/2020 04:30,1418,17,10,2020-04-01 20:30:00,1391,5513000,63.2467777,25.9209164
,South Africa,04/01/2020 04:30,1353,5,50,2020-04-01 20:30:00,1298,56720000,-28.816623600000003,24.991639000000003
,Greece,04/01/2020 04:30,1314,49,52,2020-04-01 20:30:00,1213,10740000,38.995368299999996,21.987713199999998
,Mexico,04/01/2020 04:30,1215,29,35,2020-04-01 20:30:00,1151,129200000,19.4326296,-99.1331785
,Panama,04/01/2020 04:30,1181,30,9,2020-04-01 20:30:00,1142,4099000,8.559559,-81.1308434
,Iceland,04/01/2020 04:30,1135,2,198,2020-04-01 20:30:00,935,364260,64.9841821,-18.1059013
