Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated,lat,lon
Adelaide,Australia,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,-34.9281805,138.5999312
Bavaria,Germany,02/01/2020 10:00,7,0,0,2020-02-01 10:00:00,48.9467562,11.4038717
,Finland,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,63.2467777,25.9209164
,United Arab Emirates,02/01/2020 10:00,4,0,0,2020-02-01 10:00:00,24.0002488,53.9994829
,Philippines,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,12.7503486,122.7312101
,India,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,16.3876987,73.7305913
,Italy,02/01/2020 10:00,2,0,0,2020-02-01 10:00:00,46.3144754,11.0480288
,Sweden,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,63.4352121,14.8290863
,Russia,02/01/2020 10:00,2,0,0,2020-02-01 10:00:00,48.2783785,46.1663642
,Spain,02/01/2020 10:00,1,0,0,2020-02-01 10:00:00,39.3262345,-4.8380649
,UK,02/01/2020 10:00,2,0,0,2020-02-01 10:00:00,54.7023545,-3.2765753
