Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
West Virginia,US,04/21/2020 07:00,908,26,265,0,0,2020-04-21 22:00:00,617,1806000.0,38.475840600000005,-80.84084150000001,North America,Worldwide
Maine,US,04/21/2020 07:00,875,35,435,0,0,2020-04-21 22:00:00,405,1338000.0,45.709097,-68.8590201,North America,Worldwide
Vermont,US,04/21/2020 07:00,816,38,0,0,0,2020-04-21 22:00:00,778,626299.0,44.5990718,-72.5002608,North America,Worldwide
North Dakota,US,04/21/2020 07:00,627,13,189,0,0,2020-04-21 22:00:00,425,760077.0,47.6201461,-100.540737,North America,Worldwide
Hawaii,US,04/21/2020 07:00,584,10,423,0,0,2020-04-21 22:00:00,151,1420000.0,21.2160437,-157.975203,North America,Worldwide
Montana,US,04/21/2020 07:00,433,10,243,0,0,2020-04-21 22:00:00,180,1062000.0,47.3752671,-109.63875790000002,North America,Worldwide
Wyoming,US,04/21/2020 07:00,429,2,290,0,0,2020-04-21 22:00:00,137,577737.0,43.1700264,-107.5685348,North America,Worldwide
Alaska,US,04/21/2020 07:00,321,9,153,0,0,2020-04-21 22:00:00,159,737438.0,64.44596130000001,-149.680909,North America,Worldwide
Guam,US,04/21/2020 07:00,136,5,97,0,0,2020-04-21 22:00:00,34,164229.0,13.4501257,144.757551,North America,Worldwide
Grand Princess,US,04/21/2020 07:00,103,3,0,0,0,2020-04-21 22:00:00,100,3500.0,37.7268801,-122.203452,North America,Worldwide
US Virgin Islands,US,04/21/2020 07:00,53,3,46,0,0,2020-04-21 22:00:00,4,107268.0,17.789187,-64.7080574,North America,Worldwide
Diamond Princess,US,04/21/2020 07:00,49,0,0,0,0,2020-04-21 22:00:00,49,3700.0,41.258745899999994,-95.93837579999999,North America,Worldwide
Quebec,Canada,04/21/2020 07:00,19319,939,3847,0,0,2020-04-21 22:00:00,14533,8485000.0,52.4760892,-71.8258668,North America,Worldwide
Ontario,Canada,04/21/2020 07:00,12286,647,5674,0,0,2020-04-21 22:00:00,5965,14570000.0,50.000678,-86.000977,North America,Worldwide
Alberta,Canada,04/21/2020 07:00,2908,59,1230,0,0,2020-04-21 22:00:00,1619,4371000.0,55.001251,-115.00213600000001,North America,Worldwide
British Columbia,Canada,04/21/2020 07:00,1699,86,1041,0,0,2020-04-21 22:00:00,572,5071000.0,55.001251,-125.00244099999999,North America,Worldwide
Nova Scotia,Canada,04/21/2020 07:00,721,9,248,0,0,2020-04-21 22:00:00,464,971395.0,45.1960403,-63.1653789,North America,Worldwide
Saskatchewan,Canada,04/21/2020 07:00,316,4,238,0,0,2020-04-21 22:00:00,74,1174000.0,55.5321257,-106.1412243,North America,Worldwide
Newfoundland and Labrador,Canada,04/21/2020 07:00,257,3,191,0,0,2020-04-21 22:00:00,63,521542.0,53.821732700000005,-61.2295532,North America,Worldwide
Manitoba,Canada,04/21/2020 07:00,254,6,144,0,0,2020-04-21 22:00:00,104,1369000.0,55.001251,-97.001038,North America,Worldwide
New Brunswick,Canada,04/21/2020 07:00,118,0,98,0,0,2020-04-21 22:00:00,20,776827.0,46.500283,-66.75018299999999,North America,Worldwide
Prince Edward Island,Canada,04/21/2020 07:00,26,0,23,0,0,2020-04-21 22:00:00,3,156947.0,46.5035454,-63.595517099999995,North America,Worldwide
Yukon,Canada,04/21/2020 07:00,11,0,8,0,0,2020-04-21 22:00:00,3,35874.0,63.000147,-136.002502,North America,Worldwide
Northwest Territories,Canada,04/21/2020 07:00,5,0,5,0,0,2020-04-21 22:00:00,0,44826.0,65.00000039999999,-118.0,North America,Worldwide
,US,04/21/2020 07:00,0,0,0,4027367,13951,2020-04-21 22:00:00,0,0.0,39.7837304,-100.4458825,North America,Worldwide
,Canada,04/21/2020 07:00,0,0,0,559578,557,2020-04-21 22:00:00,0,0.0,61.0666922,-107.9917071,North America,Worldwide
,Spain,04/21/2020 07:00,204178,21282,82514,930230,7705,2020-04-21 22:00:00,100382,46660000.0,39.3262345,-4.838064900000001,Europe,Worldwide
