Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City,Date_last_updated_AEDT,lat,lon
Inner Mongolia,China,02/09/2020 06:00,54,5,0,,2020-02-09 22:00:00,43.2443242,114.3251664
Ningxia,China,02/09/2020 06:00,45,13,0,,2020-02-09 22:00:00,37.3095528,105.9608553
Xinjiang,China,02/09/2020 06:00,45,0,0,,2020-02-09 22:00:00,41.7574769,87.1673842
,Singapore,02/09/2020 06:00,40,2,0,,2020-02-09 22:00:00,1.340863,103.8303918
,Thailand,02/09/2020 06:00,32,10,0,,2020-02-09 22:00:00,18.7544594,100.624804
Hong Kong,Hong Kong,02/09/2020 06:00,29,0,1,,2020-02-09 22:00:00,22.2793278,114.1628131
,Japan,02/09/2020 06:00,26,4,0,,2020-02-09 22:00:00,34.9046568,136.6310496
,South Korea,02/09/2020 06:00,27,3,0,,2020-02-09 22:00:00,36.5581914,127.9408564
Qinghai,China,02/09/2020 06:00,18,3,0,,2020-02-09 22:00:00,35.4070952,95.9521157
Taiwan,Taiwan,02/09/2020 06:00,18,1,0,,2020-02-09 22:00:00,23.9739374,120.9820179
,Malaysia,02/09/2020 06:00,17,1,0,,2020-02-09 22:00:00,4.5693754,102.2656823
,Germany,02/09/2020 06:00,14,0,0,,2020-02-09 22:00:00,51.3876262,7.0015229
,Vietnam,02/09/2020 06:00,14,3,0,,2020-02-09 22:00:00,13.2904027,108.4265113
,France,02/09/2020 06:00,11,0,0,,2020-02-09 22:00:00,45.1562575,5.4515829
Macau,Macau,02/09/2020 06:00,10,1,0,,2020-02-09 22:00:00,22.1757605,113.5514142
,United Arab Emirates,02/09/2020 06:00,7,0,0,,2020-02-09 22:00:00,24.0002488,53.9994829
California,US,02/09/2020 06:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara",2020-02-09 22:00:00,36.7014631,-118.7559974
Brisbane,Australia,02/09/2020 06:00,5,0,0,,2020-02-09 22:00:00,-27.4689682,153.0234991
Sydney,Australia,02/09/2020 06:00,4,3,0,,2020-02-09 22:00:00,-33.8548157,151.2164539
Melbourne,Australia,02/09/2020 06:00,4,2,0,,2020-02-09 22:00:00,-37.8142176,144.9631608
British Columbia,Canada,02/09/2020 06:00,4,0,0,,2020-02-09 22:00:00,55.001251,-125.002441
Ontario,Canada,02/09/2020 06:00,3,0,0,,2020-02-09 22:00:00,50.000678,-86.000977
,India,02/09/2020 06:00,3,0,0,,2020-02-09 22:00:00,16.3876987,73.7305913
,Philippines,02/09/2020 06:00,3,0,1,,2020-02-09 22:00:00,12.7503486,122.7312101
,UK,02/09/2020 06:00,3,0,0,,2020-02-09 22:00:00,54.7023545,-3.2765753
,Italy,02/09/2020 06:00,3,0,0,,2020-02-09 22:00:00,46.3144754,11.0480288
,Russia,02/09/2020 06:00,2,0,0,,2020-02-09 22:00:00,48.2783785,46.1663642
Illinois,US,02/09/2020 06:00,2,2,0,Chicago,2020-02-09 22:00:00,40.0796606,-89.4337288
Adelaide,Australia,02/09/2020 06:00,2,0,0,,2020-02-09 22:00:00,-34.9281805,138.5999312
,Cambodia,02/09/2020 06:00,1,1,0,,2020-02-09 22:00:00,13.5066394,104.869423
,Finland,02/09/2020 06:00,1,1,0,,2020-02-09 22:00:00,63.2467777,25.9209164
,Sri Lanka,02/09/2020 06:00,1,1,0,,2020-02-09 22:00:00,7.1895221,79.9548574
Tibet,China,02/09/2020 06:00,1,0,0,,2020-02-09 22:00:00,31.8943432,87.0781371
,Nepal,02/09/2020 06:00,1,0,0,,2020-02-09 22:00:00,28.1083929,84.0917139
,Spain,02/09/2020 06:00,1,0,0,,2020-02-09 22:00:00,39.3262345,-4.8380649
,Sweden,02/09/2020 06:00,1,0,0,,2020-02-09 22:00:00,63.4352121,14.8290863
Massachusetts,US,02/09/2020 06:00,1,0,0,Boston,2020-02-09 22:00:00,42.3788774,-72.032366
WA,US,02/09/2020 06:00,1,0,0,Seattle,2020-02-09 22:00:00,47.2868352,-120.2126139
Arizona,US,02/09/2020 06:00,1,0,0,Tempe,2020-02-09 22:00:00,34.395342,-111.7632755
Brussels,Belgium,02/09/2020 06:00,1,0,0,,2020-02-09 22:00:00,50.8436709,4.3674367
WI,US,02/09/2020 06:00,1,0,0,Madison,2020-02-09 22:00:00,44.4308975,-89.6884637
