Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,Continent,World,lat,lon
Alabama,US,06/09/2020 07:00,20925,718,11395,0,0,2020-06-09 22:00:00,8812,4888000.0,North America,Worldwide,33.258881699999996,-86.8295337
Mississippi,US,06/09/2020 07:00,17769,837,11203,0,0,2020-06-09 22:00:00,5729,2987000.0,North America,Worldwide,32.9715645,-89.7348497
Rhode Island,US,06/09/2020 07:00,15642,799,1390,0,0,2020-06-09 22:00:00,13453,1057000.0,North America,Worldwide,41.7962409,-71.59923719999999
Veteran Affair,US,06/09/2020 07:00,16020,1349,0,0,0,2020-06-09 22:00:00,14671,18000000.0,North America,Worldwide,34.279195,-119.28909499999999
Nebraska,US,06/09/2020 07:00,15786,188,7598,0,0,2020-06-09 22:00:00,8000,1929000.0,North America,Worldwide,41.7370229,-99.5873816
Missouri,US,06/09/2020 07:00,15158,823,3494,0,0,2020-06-09 22:00:00,10841,6126000.0,North America,Worldwide,38.7604815,-92.5617875
South Carolina,US,06/09/2020 07:00,14800,557,5076,0,0,2020-06-09 22:00:00,9167,5084000.0,North America,Worldwide,33.687438799999995,-80.4363743
Kentucky,US,06/09/2020 07:00,11476,472,3359,0,0,2020-06-09 22:00:00,7645,4468000.0,North America,Worldwide,37.5726028,-85.1551411
Kansas,US,06/09/2020 07:00,10544,236,5369,0,0,2020-06-09 22:00:00,4939,2912000.0,North America,Worldwide,38.27312,-98.58218719999999
Utah,US,06/09/2020 07:00,12322,124,4075,0,0,2020-06-09 22:00:00,8123,3161000.0,North America,Worldwide,39.4225192,-111.71435840000001
US Military,US,06/09/2020 07:00,10822,36,6328,0,0,2020-06-09 22:00:00,4458,1300000.0,North America,Worldwide,38.856317,-77.012803
Delaware,US,06/09/2020 07:00,9972,398,5792,0,0,2020-06-09 22:00:00,3782,967171.0,North America,Worldwide,38.6920451,-75.4013315
Washington DC,US,06/09/2020 07:00,9389,491,1143,0,0,2020-06-09 22:00:00,7755,633427.0,North America,Worldwide,38.894893200000006,-77.0365529
Nevada,US,06/09/2020 07:00,9816,442,7270,0,0,2020-06-09 22:00:00,2104,3034000.0,North America,Worldwide,39.515882500000004,-116.85372269999999
New Mexico,US,06/09/2020 07:00,9062,400,3380,0,0,2020-06-09 22:00:00,5282,2095000.0,North America,Worldwide,34.5708167,-105.993007
Arkansas,US,06/09/2020 07:00,9740,155,6630,0,0,2020-06-09 22:00:00,2955,3014000.0,North America,Worldwide,35.2048883,-92.4479108
Oklahoma,US,06/09/2020 07:00,7205,348,6020,0,0,2020-06-09 22:00:00,837,3943000.0,North America,Worldwide,34.9550817,-97.2684063
Federal Bureau of Prisons,US,06/09/2020 07:00,6741,79,4409,0,0,2020-06-09 22:00:00,2253,183000.0,North America,Worldwide,34.665240999999995,-120.65316299999999
Navajo Nation,US,06/09/2020 07:00,6020,277,930,0,0,2020-06-09 22:00:00,4813,356890.0,North America,Worldwide,36.3089731,-109.32568799999999
South Dakota,US,06/09/2020 07:00,5471,65,4403,0,0,2020-06-09 22:00:00,1003,882235.0,North America,Worldwide,44.6471761,-100.348761
New Hampshire,US,06/09/2020 07:00,5079,286,3392,0,0,2020-06-09 22:00:00,1401,1356000.0,North America,Worldwide,43.484913299999995,-71.6553992
Oregon,US,06/09/2020 07:00,4922,163,1894,0,0,2020-06-09 22:00:00,2865,4191000.0,North America,Worldwide,43.9792797,-120.737257
Puerto Rico,US,06/09/2020 07:00,5046,142,850,0,0,2020-06-09 22:00:00,4054,3195000.0,North America,Worldwide,18.2214149,-66.4132818
Idaho,US,06/09/2020 07:00,3139,83,2509,0,0,2020-06-09 22:00:00,547,1754000.0,North America,Worldwide,43.644764200000004,-114.0154071
North Dakota,US,06/09/2020 07:00,2880,72,2336,0,0,2020-06-09 22:00:00,472,760077.0,North America,Worldwide,47.6201461,-100.540737
Maine,US,06/09/2020 07:00,2588,99,1891,0,0,2020-06-09 22:00:00,598,1338000.0,North America,Worldwide,45.709097,-68.8590201
West Virginia,US,06/09/2020 07:00,2161,84,1472,0,0,2020-06-09 22:00:00,605,1806000.0,North America,Worldwide,38.475840600000005,-80.84084150000001
Vermont,US,06/09/2020 07:00,1075,55,895,0,0,2020-06-09 22:00:00,125,626299.0,North America,Worldwide,44.5990718,-72.5002608
Wyoming,US,06/09/2020 07:00,960,17,773,0,0,2020-06-09 22:00:00,170,577737.0,North America,Worldwide,43.1700264,-107.5685348
Hawaii,US,06/09/2020 07:00,676,17,618,0,0,2020-06-09 22:00:00,41,1420000.0,North America,Worldwide,21.2160437,-157.975203
Montana,US,06/09/2020 07:00,548,18,475,0,0,2020-06-09 22:00:00,55,1062000.0,North America,Worldwide,47.3752671,-109.63875790000002
Alaska,US,06/09/2020 07:00,563,10,384,0,0,2020-06-09 22:00:00,169,737438.0,North America,Worldwide,64.44596130000001,-149.680909
Guam,US,06/09/2020 07:00,179,5,143,0,0,2020-06-09 22:00:00,31,164229.0,North America,Worldwide,13.4501257,144.757551
Grand Princess,US,06/09/2020 07:00,103,3,0,0,0,2020-06-09 22:00:00,100,3500.0,North America,Worldwide,37.7268801,-122.203452
US Virgin Islands,US,06/09/2020 07:00,71,6,62,0,0,2020-06-09 22:00:00,3,107268.0,North America,Worldwide,17.789187,-64.7080574
Diamond Princess,US,06/09/2020 07:00,49,0,0,0,0,2020-06-09 22:00:00,49,3700.0,North America,Worldwide,41.258745899999994,-95.93837579999999
Northern Mariana Islands,US,06/09/2020 07:00,28,2,16,0,0,2020-06-09 22:00:00,10,56882.0,North America,Worldwide,15.563831,145.703055
Quebec,Canada,06/09/2020 07:00,53047,4984,18994,0,0,2020-06-09 22:00:00,29069,8485000.0,North America,Worldwide,52.4760892,-71.8258668
Ontario,Canada,06/09/2020 07:00,32395,2524,25002,0,0,2020-06-09 22:00:00,4869,14570000.0,North America,Worldwide,50.000678,-86.000977
Alberta,Canada,06/09/2020 07:00,7202,149,6698,0,0,2020-06-09 22:00:00,355,4371000.0,North America,Worldwide,55.001251,-115.00213600000001
British Columbia,Canada,06/09/2020 07:00,2659,167,2309,0,0,2020-06-09 22:00:00,183,5071000.0,North America,Worldwide,55.001251,-125.00244099999999
Nova Scotia,Canada,06/09/2020 07:00,1059,61,999,0,0,2020-06-09 22:00:00,-1,971395.0,North America,Worldwide,45.1960403,-63.1653789
Saskatchewan,Canada,06/09/2020 07:00,654,13,624,0,0,2020-06-09 22:00:00,17,1174000.0,North America,Worldwide,55.5321257,-106.1412243
Manitoba,Canada,06/09/2020 07:00,300,7,284,0,0,2020-06-09 22:00:00,9,1369000.0,North America,Worldwide,55.001251,-97.001038
Newfoundland and Labrador,Canada,06/09/2020 07:00,261,3,256,0,0,2020-06-09 22:00:00,2,521542.0,North America,Worldwide,53.821732700000005,-61.2295532
New Brunswick,Canada,06/09/2020 07:00,146,1,121,0,0,2020-06-09 22:00:00,24,776827.0,North America,Worldwide,46.500283,-66.75018299999999
Prince Edward Island,Canada,06/09/2020 07:00,27,0,27,0,0,2020-06-09 22:00:00,0,156947.0,North America,Worldwide,46.5035454,-63.595517099999995
Yukon,Canada,06/09/2020 07:00,11,0,11,0,0,2020-06-09 22:00:00,0,35874.0,North America,Worldwide,63.000147,-136.002502
Northwest Territories,Canada,06/09/2020 07:00,5,0,5,0,0,2020-06-09 22:00:00,0,44826.0,North America,Worldwide,65.00000039999999,-118.0
,Brazil,06/09/2020 07:00,710887,37312,325602,999836,8318,2020-06-09 22:00:00,347973,209300000.0,South America,Worldwide,-10.333333300000001,-53.2
,Russia,06/09/2020 07:00,485253,6142,242397,13254678,2300,2020-06-09 22:00:00,236714,144500000.0,Europe,Worldwide,64.6863136,97.7453061
,Spain,06/09/2020 07:00,288797,27136,196958,4465338,617,2020-06-09 22:00:00,64703,46660000.0,Europe,Worldwide,39.3262345,-4.838064900000001
,UK,06/09/2020 07:00,287399,40597,1166,5731576,516,2020-06-09 22:00:00,245636,66440000.0,Europe,Worldwide,54.702354500000006,-3.2765752999999997
,India,06/09/2020 07:00,267614,7481,129226,4916116,8944,2020-06-09 22:00:00,130907,1339000000.0,Asia,Worldwide,22.3511148,78.6677428
,Italy,06/09/2020 07:00,235278,33964,166584,4236535,283,2020-06-09 22:00:00,34730,60480000.0,Europe,Worldwide,45.6209,9.768892999999998
,Peru,06/09/2020 07:00,199696,5571,89556,1203985,1062,2020-06-09 22:00:00,104569,32170000.0,South America,Worldwide,-6.8699697,-75.0458515
,Germany,06/09/2020 07:00,186233,8792,170200,4348880,540,2020-06-09 22:00:00,7241,82790000.0,Europe,Worldwide,51.0834196,10.4234469
,Iran,06/09/2020 07:00,173832,8351,136360,1107254,2619,2020-06-09 22:00:00,29121,81160000.0,Asia,Worldwide,32.6475314,54.56435160000001
,Turkey,06/09/2020 07:00,171121,4711,141380,2377954,625,2020-06-09 22:00:00,25030,80810000.0,Asia,Worldwide,38.959759399999996,34.9249653
,France,06/09/2020 07:00,154188,29209,71062,1384633,1024,2020-06-09 22:00:00,53917,66990000.0,Europe,Worldwide,46.603353999999996,1.8883334999999999
,Chile,06/09/2020 07:00,138846,2264,95631,728815,1558,2020-06-09 22:00:00,40951,18050000.0,South America,Worldwide,-31.7613365,-71.3187697
,Mexico,06/09/2020 07:00,120102,14053,87633,344375,378,2020-06-09 22:00:00,18416,129200000.0,North America,Worldwide,19.4326296,-99.1331785
,Pakistan,06/09/2020 07:00,108317,2172,35018,730453,111,2020-06-09 22:00:00,71127,197000000.0,Asia,Worldwide,30.3308401,71.247499
,Saudi Arabia,06/09/2020 07:00,105283,746,74524,976815,1632,2020-06-09 22:00:00,30013,32940000.0,Asia,Worldwide,25.624261800000003,42.352832799999995
,Bangladesh,06/09/2020 07:00,71675,975,15337,425595,1,2020-06-09 22:00:00,55363,164700000.0,Asia,Worldwide,24.4768598,90.29322990000001
,Qatar,06/09/2020 07:00,70158,57,45935,259646,241,2020-06-09 22:00:00,24166,2639000.0,Asia,Worldwide,25.3336984,51.2295295
Brussels,Belgium,06/09/2020 07:00,59437,9619,16324,958513,115,2020-06-09 22:00:00,33494,11400000.0,Europe,Worldwide,50.8436709,4.3674367
,South Africa,06/09/2020 07:00,50879,1080,26099,943059,208,2020-06-09 22:00:00,23700,56720000.0,Africa,Worldwide,-28.816623600000003,24.991639000000003
,Belarus,06/09/2020 07:00,49453,276,23880,632993,92,2020-06-09 22:00:00,25297,9508000.0,Europe,Worldwide,53.4250605,27.6971358
,Netherlands,06/09/2020 07:00,47739,6016,322,414550,92,2020-06-09 22:00:00,41401,17180000.0,Europe,Worldwide,52.500169799999995,5.7480820999999995
,Sweden,06/09/2020 07:00,45133,4694,4971,275500,298,2020-06-09 22:00:00,35468,10120000.0,Europe,Worldwide,59.67497120000001,14.5208584
,Ecuador,06/09/2020 07:00,43378,3642,21020,127576,228,2020-06-09 22:00:00,18716,16620000.0,South America,Worldwide,-1.3397668,-79.3666965
,Colombia,06/09/2020 07:00,40719,1308,16427,421725,335,2020-06-09 22:00:00,22984,49070000.0,South America,Worldwide,2.8894433999999998,-73.78389200000001
,United Arab Emirates,06/09/2020 07:00,39904,283,22740,2537000,1,2020-06-09 22:00:00,16881,9400000.0,Asia,Worldwide,24.0002488,53.999482900000004
,Singapore,06/09/2020 07:00,38514,25,25368,408495,4,2020-06-09 22:00:00,13121,5612000.0,Asia,Worldwide,1.340863,103.8303918
,Egypt,06/09/2020 07:00,35444,1271,9375,135000,41,2020-06-09 22:00:00,24798,97550000.0,Africa,Worldwide,26.254049300000002,29.2675469
,Portugal,06/09/2020 07:00,34885,1485,21156,873998,55,2020-06-09 22:00:00,12244,10290000.0,Europe,Worldwide,40.0332629,-7.889626299999999
,Kuwait,06/09/2020 07:00,33140,273,22162,321506,173,2020-06-09 22:00:00,10705,4137000.0,Asia,Worldwide,29.2733964,47.4979476
,Indonesia,06/09/2020 07:00,33076,1923,11414,429161,0,2020-06-09 22:00:00,19739,264000000.0,Asia,Worldwide,-2.4833826,117.89028529999999
,Switzerland,06/09/2020 07:00,30988,1923,28700,428973,24,2020-06-09 22:00:00,365,8570000.0,Europe,Worldwide,46.7985624,8.231973599999998
,Ukraine,06/09/2020 07:00,27856,810,12412,437444,304,2020-06-09 22:00:00,14634,42220000.0,Europe,Worldwide,49.4871968,31.2718321
,Poland,06/09/2020 07:00,27365,1172,13196,1071140,160,2020-06-09 22:00:00,12997,37980000.0,Europe,Worldwide,52.215933,19.134422
,Ireland,06/09/2020 07:00,25207,1683,22698,348416,34,2020-06-09 22:00:00,826,4830000.0,Europe,Worldwide,52.865196,-7.9794599
,Argentina,06/09/2020 07:00,23620,693,7305,198520,274,2020-06-09 22:00:00,15622,44270000.0,South America,Worldwide,-34.9964963,-64.9672817
,Philippines,06/09/2020 07:00,22992,1017,4736,441487,82,2020-06-09 22:00:00,17239,104900000.0,Asia,Worldwide,12.750348599999999,122.7312101
,Afghanistan,06/09/2020 07:00,21459,384,2651,49530,19,2020-06-09 22:00:00,18424,35530000.0,Asia,Worldwide,33.7680065,66.2385139
,Romania,06/09/2020 07:00,20749,1345,14910,511295,152,2020-06-09 22:00:00,4494,19530000.0,Europe,Worldwide,45.98521289999999,24.6859225
,Dominican Republic,06/09/2020 07:00,20126,539,12158,94511,110,2020-06-09 22:00:00,7429,10770000.0,North America,Worldwide,19.0974031,-70.30280259999999
,Oman,06/09/2020 07:00,18198,83,4152,114064,85,2020-06-09 22:00:00,13963,4636000.0,Asia,Worldwide,21.000028699999998,57.00369010000001
,Israel,06/09/2020 07:00,18089,298,15137,678009,29,2020-06-09 22:00:00,2654,8712000.0,Asia,Worldwide,31.531311300000002,34.8667654
,Japan,06/09/2020 07:00,17174,916,15148,316848,99,2020-06-09 22:00:00,1110,126800000.0,Asia,Worldwide,36.5748441,139.2394179
,Austria,06/09/2020 07:00,16979,672,15875,500921,19,2020-06-09 22:00:00,432,8822000.0,Europe,Worldwide,47.2000338,13.199959
,Panama,06/09/2020 07:00,16854,398,10401,72697,87,2020-06-09 22:00:00,6055,4099000.0,North America,Worldwide,8.559559,-81.1308434
,Bahrain,06/09/2020 07:00,15731,28,10606,378235,13,2020-06-09 22:00:00,5097,1493000.0,Asia,Worldwide,26.155124899999997,50.5344606
,Bolivia,06/09/2020 07:00,13949,475,2159,38092,3,2020-06-09 22:00:00,11315,11050000.0,South America,Worldwide,-17.056869600000002,-64.9912286
,Armenia,06/09/2020 07:00,13675,217,4451,71405,10,2020-06-09 22:00:00,9007,2973000.0,Asia,Worldwide,40.7696272,44.6736646
,Iraq,06/09/2020 07:00,13481,370,5572,311980,69,2020-06-09 22:00:00,7539,38270000.0,Asia,Worldwide,33.0955793,44.174977500000004
,Kazakhstan,06/09/2020 07:00,13074,58,7811,998556,62,2020-06-09 22:00:00,5205,18040000.0,Asia,Worldwide,47.2286086,65.20931970000001
,Nigeria,06/09/2020 07:00,12801,361,4040,78244,7,2020-06-09 22:00:00,8400,190900000.0,Africa,Worldwide,9.6000359,7.999972099999999
,Denmark,06/09/2020 07:00,11962,593,10792,715100,16,2020-06-09 22:00:00,577,5603000.0,Europe,Worldwide,55.670249,10.333328300000002
,Serbia,06/09/2020 07:00,11896,250,11348,276810,15,2020-06-09 22:00:00,298,7022000.0,Europe,Worldwide,44.02432279999999,21.0765743
,South Korea,06/09/2020 07:00,11852,274,10589,1035997,15,2020-06-09 22:00:00,989,51470000.0,Asia,Worldwide,35.8713,128.6018
,Algeria,06/09/2020 07:00,10265,715,6799,0,36,2020-06-09 22:00:00,2751,41320000.0,Africa,Worldwide,28.000027199999998,2.9999825
,Ghana,06/09/2020 07:00,9910,48,3645,235443,3,2020-06-09 22:00:00,6217,28830000.0,Africa,Worldwide,8.0300284,-1.0800271000000001
,Moldova,06/09/2020 07:00,9807,359,5797,63328,305,2020-06-09 22:00:00,3651,3550000.0,Europe,Worldwide,47.28796079999999,28.5670941
,Czechia,06/09/2020 07:00,9699,328,7009,478825,11,2020-06-09 22:00:00,2362,10650000.0,Europe,Worldwide,49.816700299999994,15.4749544
,Norway,06/09/2020 07:00,8561,239,8138,262236,5,2020-06-09 22:00:00,184,5368000.0,Europe,Worldwide,60.5000209,9.099971499999999
,Morocco,06/09/2020 07:00,8408,208,7423,335643,15,2020-06-09 22:00:00,777,35740000.0,Africa,Worldwide,31.1728205,-7.3362482
,Malaysia,06/09/2020 07:00,8336,117,6975,618360,6,2020-06-09 22:00:00,1244,31620000.0,Asia,Worldwide,4.5693754,102.2656823
,Cameroon,06/09/2020 07:00,8060,212,4748,0,28,2020-06-09 22:00:00,3100,24050000.0,Africa,Worldwide,4.6125522000000005,13.153581099999998
,Azerbaijan,06/09/2020 07:00,7876,93,4377,343391,66,2020-06-09 22:00:00,3406,9898000.0,Asia,Worldwide,40.3936294,47.787250799999995
,Guatemala,06/09/2020 07:00,7502,267,1323,31427,5,2020-06-09 22:00:00,5912,16910000.0,North America,Worldwide,15.635608800000002,-89.8988087
,Finland,06/09/2020 07:00,7025,324,5800,205600,4,2020-06-09 22:00:00,901,5513000.0,Europe,Worldwide,63.2467777,25.9209164
,Honduras,06/09/2020 07:00,6450,262,740,21540,13,2020-06-09 22:00:00,5448,9265000.0,North America,Worldwide,15.2572432,-86.0755145
,Sudan,06/09/2020 07:00,6242,372,2059,401,0,2020-06-09 22:00:00,3811,40530000.0,Africa,Worldwide,14.584444400000002,29.4917691
,Tajikistan,06/09/2020 07:00,4609,48,2763,0,0,2020-06-09 22:00:00,1798,9101000.0,Asia,Worldwide,38.583463,69.185538
,Senegal,06/09/2020 07:00,4516,52,2809,54232,14,2020-06-09 22:00:00,1655,15850000.0,Africa,Worldwide,14.475060699999998,-14.452961199999999
,Uzbekistan,06/09/2020 07:00,4448,18,3423,748555,9,2020-06-09 22:00:00,1007,32390000.0,Asia,Worldwide,41.32373,63.9528098
,Djibouti,06/09/2020 07:00,4278,31,2013,36497,0,2020-06-09 22:00:00,2234,956985.0,Africa,Worldwide,11.8145966,42.8453061
,DRC,06/09/2020 07:00,4259,90,539,0,0,2020-06-09 22:00:00,3630,81340000.0,Africa,Worldwide,-4.0324900999999995,22.4574787
