Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Grand Princess,US,04/16/2020 07:00,103,3,0,2020-04-16 22:00:00,100,3500,37.7268801,-122.203452,North America,Worldwide
US Virgin Islands,US,04/16/2020 07:00,51,1,43,2020-04-16 22:00:00,7,107268,17.789187,-64.7080574,North America,Worldwide
Diamond Princess,US,04/16/2020 07:00,49,0,0,2020-04-16 22:00:00,49,3700,41.258745899999994,-95.93837579999999,North America,Worldwide
Quebec,Canada,04/16/2020 07:00,14860,487,2491,2020-04-16 22:00:00,11882,8485000,52.4760892,-71.8258668,North America,Worldwide
Ontario,Canada,04/16/2020 07:00,8447,385,3902,2020-04-16 22:00:00,4160,14570000,50.000678,-86.000977,North America,Worldwide
Alberta,Canada,04/16/2020 07:00,1870,48,914,2020-04-16 22:00:00,908,4371000,55.001251,-115.00213600000001,North America,Worldwide
British Columbia,Canada,04/16/2020 07:00,1561,75,955,2020-04-16 22:00:00,531,5071000,55.001251,-125.00244099999999,North America,Worldwide
Nova Scotia,Canada,04/16/2020 07:00,549,3,137,2020-04-16 22:00:00,409,971395,45.1960403,-63.1653789,North America,Worldwide
Saskatchewan,Canada,04/16/2020 07:00,304,4,205,2020-04-16 22:00:00,95,1174000,55.5321257,-106.1412243,North America,Worldwide
Newfoundland and Labrador,Canada,04/16/2020 07:00,247,3,159,2020-04-16 22:00:00,85,521542,53.821732700000005,-61.2295532,North America,Worldwide
Manitoba,Canada,04/16/2020 07:00,246,5,108,2020-04-16 22:00:00,133,1369000,55.001251,-97.001038,North America,Worldwide
New Brunswick,Canada,04/16/2020 07:00,117,0,77,2020-04-16 22:00:00,40,776827,46.500283,-66.75018299999999,North America,Worldwide
Prince Edward Island,Canada,04/16/2020 07:00,26,0,23,2020-04-16 22:00:00,3,156947,46.5035454,-63.595517099999995,North America,Worldwide
Yukon,Canada,04/16/2020 07:00,8,0,6,2020-04-16 22:00:00,2,35874,63.000147,-136.002502,North America,Worldwide
Northwest Territories,Canada,04/16/2020 07:00,5,0,2,2020-04-16 22:00:00,3,44826,65.00000039999999,-118.0,North America,Worldwide
,Spain,04/16/2020 07:00,182816,19130,74797,2020-04-16 22:00:00,88889,46660000,39.3262345,-4.838064900000001,Europe,Worldwide
,Italy,04/16/2020 07:00,165155,21645,38092,2020-04-16 22:00:00,105418,60480000,45.6209,9.768892999999998,Europe,Worldwide
,France,04/16/2020 07:00,147863,17167,30955,2020-04-16 22:00:00,99741,66990000,46.603353999999996,1.8883334999999999,Europe,Worldwide
,Germany,04/16/2020 07:00,134753,3804,77000,2020-04-16 22:00:00,53949,82790000,51.0834196,10.4234469,Europe,Worldwide
,UK,04/16/2020 07:00,98476,12868,344,2020-04-16 22:00:00,85264,66440000,54.702354500000006,-3.2765752999999997,Europe,Worldwide
,Iran,04/16/2020 07:00,77995,4869,52229,2020-04-16 22:00:00,20897,81160000,32.6475314,54.56435160000001,Asia,Worldwide
,Turkey,04/16/2020 07:00,69392,1518,5674,2020-04-16 22:00:00,62200,80810000,38.959759399999996,34.9249653,Asia,Worldwide
