Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,lat,lon
,Germany,03/19/2020 23:30,15320,44,115,2020-03-20 15:30:00,15161,51.0834196,10.4234469
,France,03/19/2020 23:30,10995,372,1295,2020-03-20 15:30:00,9328,46.603354,1.8883335
,South Korea,03/19/2020 23:30,8652,94,2233,2020-03-20 15:30:00,6325,35.8713,128.6018
,Switzerland,03/19/2020 23:30,4222,43,15,2020-03-20 15:30:00,4164,46.7985624,8.231973599999998
,UK,03/19/2020 23:30,3269,144,65,2020-03-20 15:30:00,3060,54.70235450000001,-3.2765753
,Netherlands,03/19/2020 23:30,2460,76,2,2020-03-20 15:30:00,2382,52.5001698,5.7480821
,Austria,03/19/2020 23:30,2196,6,9,2020-03-20 15:30:00,2181,47.2000338,13.199959
Brussels,Belgium,03/19/2020 23:30,1795,21,165,2020-03-20 15:30:00,1609,50.8436709,4.3674367
,Norway,03/19/2020 23:30,1790,7,1,2020-03-20 15:30:00,1782,60.5000209,9.0999715
,Sweden,03/19/2020 23:30,1439,11,16,2020-03-20 15:30:00,1412,59.67497120000001,14.5208584
,Denmark,03/19/2020 23:30,1151,6,1,2020-03-20 15:30:00,1144,55.670249,10.333328300000002
,Japan,03/19/2020 23:30,943,33,191,2020-03-20 15:30:00,719,36.5748441,139.2394179
,Malaysia,03/19/2020 23:30,900,2,75,2020-03-20 15:30:00,823,4.5693754,102.2656823
,Portugal,03/19/2020 23:30,786,4,4,2020-03-20 15:30:00,778,40.0332629,-7.889626299999999
Yokohama,Japan,03/19/2020 23:30,712,7,527,2020-03-20 15:30:00,178,35.44499099999999,139.636768
,Czechia,03/19/2020 23:30,694,0,3,2020-03-20 15:30:00,691,49.8167003,15.4749544
,Israel,03/19/2020 23:30,677,0,14,2020-03-20 15:30:00,663,31.5313113,34.8667654
,Brazil,03/19/2020 23:30,647,7,2,2020-03-20 15:30:00,638,-10.3333333,-53.2
,Ireland,03/19/2020 23:30,557,3,5,2020-03-20 15:30:00,549,52.865196,-7.9794599
,Greece,03/19/2020 23:30,464,6,19,2020-03-20 15:30:00,439,38.9953683,21.9877132
,Qatar,03/19/2020 23:30,460,0,10,2020-03-20 15:30:00,450,25.3336984,51.2295295
,Pakistan,03/19/2020 23:30,454,2,13,2020-03-20 15:30:00,439,30.3308401,71.247499
,Finland,03/19/2020 23:30,400,0,10,2020-03-20 15:30:00,390,63.2467777,25.9209164
,Turkey,03/19/2020 23:30,359,4,0,2020-03-20 15:30:00,355,38.9597594,34.9249653
,Poland,03/19/2020 23:30,355,5,13,2020-03-20 15:30:00,337,52.215933,19.134422
,Singapore,03/19/2020 23:30,345,0,124,2020-03-20 15:30:00,221,1.340863,103.8303918
,Chile,03/19/2020 23:30,342,0,0,2020-03-20 15:30:00,342,-31.7613365,-71.3187697
