Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Tennessee,US,04/17/2020 16:30,6263,141,2196,0,2020-04-18 07:30:00,3926,6770000,35.7730076,-86.28200809999998,North America,Worldwide
North Carolina,US,04/17/2020 16:30,6026,173,964,0,2020-04-18 07:30:00,4889,10380000,35.6729639,-79.03929190000001,North America,Worldwide
Missouri,US,04/17/2020 16:30,5371,184,472,0,2020-04-18 07:30:00,4715,6126000,38.7604815,-92.5617875,North America,Worldwide
Alabama,US,04/17/2020 16:30,4532,144,0,0,2020-04-18 07:30:00,4388,4888000,33.258881699999996,-86.8295337,North America,Worldwide
Arizona,US,04/17/2020 16:30,4511,169,6,0,2020-04-18 07:30:00,4336,7172000,34.395342,-111.76327549999999,North America,Worldwide
Rhode Island,US,04/17/2020 16:30,4177,118,0,0,2020-04-18 07:30:00,4059,1057000,41.7962409,-71.59923719999999,North America,Worldwide
Wisconsin,US,04/17/2020 16:30,4046,205,135,0,2020-04-18 07:30:00,3706,5814000,44.4308975,-89.6884637,North America,Worldwide
South Carolina,US,04/17/2020 16:30,3931,109,0,0,2020-04-18 07:30:00,3822,5084000,33.687438799999995,-80.4363743,North America,Worldwide
Mississippi,US,04/17/2020 16:30,3797,135,0,0,2020-04-18 07:30:00,3662,2987000,32.9715645,-89.7348497,North America,Worldwide
Nevada,US,04/17/2020 16:30,3524,142,1660,0,2020-04-18 07:30:00,1722,3034000,39.515882500000004,-116.85372269999999,North America,Worldwide
Utah,US,04/17/2020 16:30,2810,27,219,0,2020-04-18 07:30:00,2564,3161000,39.4225192,-111.71435840000001,North America,Worldwide
Washington DC,US,04/17/2020 16:30,2476,86,573,0,2020-04-18 07:30:00,1817,633427,38.894893200000006,-77.0365529,North America,Worldwide
Oklahoma,US,04/17/2020 16:30,2465,136,1060,0,2020-04-18 07:30:00,1269,3943000,34.9550817,-97.2684063,North America,Worldwide
Kentucky,US,04/17/2020 16:30,2435,129,956,0,2020-04-18 07:30:00,1350,4468000,37.5726028,-85.1551411,North America,Worldwide
Iowa,US,04/17/2020 16:30,2332,64,1007,0,2020-04-18 07:30:00,1261,3156000,41.9216734,-93.3122705,North America,Worldwide
Delaware,US,04/17/2020 16:30,2075,52,378,0,2020-04-18 07:30:00,1645,967171,38.6920451,-75.4013315,North America,Worldwide
Minnesota,US,04/17/2020 16:30,2070,111,1066,0,2020-04-18 07:30:00,893,5611000,45.98965870000001,-94.6113288,North America,Worldwide
Oregon,US,04/17/2020 16:30,1785,70,42,0,2020-04-18 07:30:00,1673,4191000,43.9792797,-120.737257,North America,Worldwide
Kansas,US,04/17/2020 16:30,1720,82,395,0,2020-04-18 07:30:00,1243,2912000,38.27312,-98.58218719999999,North America,Worldwide
Arkansas,US,04/17/2020 16:30,1696,37,548,0,2020-04-18 07:30:00,1111,3014000,35.2048883,-92.4479108,North America,Worldwide
Idaho,US,04/17/2020 16:30,1609,41,390,0,2020-04-18 07:30:00,1178,1754000,43.644764200000004,-114.0154071,North America,Worldwide
New Mexico,US,04/17/2020 16:30,1597,44,353,0,2020-04-18 07:30:00,1200,2095000,34.5708167,-105.993007,North America,Worldwide
South Dakota,US,04/17/2020 16:30,1411,7,457,0,2020-04-18 07:30:00,947,882235,44.6471761,-100.348761,North America,Worldwide
New Hampshire,US,04/17/2020 16:30,1211,34,455,0,2020-04-18 07:30:00,722,1356000,43.484913299999995,-71.6553992,North America,Worldwide
Puerto Rico,US,04/17/2020 16:30,1068,58,0,0,2020-04-18 07:30:00,1010,3195000,18.2214149,-66.4132818,North America,Worldwide
Nebraska,US,04/17/2020 16:30,1066,24,0,0,2020-04-18 07:30:00,1042,1929000,41.7370229,-99.5873816,North America,Worldwide
Navajo Nation,US,04/17/2020 16:30,1042,41,0,0,2020-04-18 07:30:00,1001,356890,36.3089731,-109.32568799999999,North America,Worldwide
Maine,US,04/17/2020 16:30,827,29,352,0,2020-04-18 07:30:00,446,1338000,45.709097,-68.8590201,North America,Worldwide
Vermont,US,04/17/2020 16:30,779,35,0,0,2020-04-18 07:30:00,744,626299,44.5990718,-72.5002608,North America,Worldwide
West Virginia,US,04/17/2020 16:30,754,13,223,0,2020-04-18 07:30:00,518,1806000,38.475840600000005,-80.84084150000001,North America,Worldwide
Hawaii,US,04/17/2020 16:30,541,9,374,0,2020-04-18 07:30:00,158,1420000,21.2160437,-157.975203,North America,Worldwide
Montana,US,04/17/2020 16:30,422,8,233,0,2020-04-18 07:30:00,181,1062000,47.3752671,-109.63875790000002,North America,Worldwide
North Dakota,US,04/17/2020 16:30,393,9,163,0,2020-04-18 07:30:00,221,760077,47.6201461,-100.540737,North America,Worldwide
Alaska,US,04/17/2020 16:30,309,9,110,0,2020-04-18 07:30:00,190,737438,64.44596130000001,-149.680909,North America,Worldwide
Wyoming,US,04/17/2020 16:30,296,2,187,0,2020-04-18 07:30:00,107,577737,43.1700264,-107.5685348,North America,Worldwide
Guam,US,04/17/2020 16:30,136,5,97,0,2020-04-18 07:30:00,34,164229,13.4501257,144.757551,North America,Worldwide
Grand Princess,US,04/17/2020 16:30,103,3,0,0,2020-04-18 07:30:00,100,3500,37.7268801,-122.203452,North America,Worldwide
US Virgin Islands,US,04/17/2020 16:30,51,2,43,0,2020-04-18 07:30:00,6,107268,17.789187,-64.7080574,North America,Worldwide
Diamond Princess,US,04/17/2020 16:30,49,0,0,0,2020-04-18 07:30:00,49,3700,41.258745899999994,-95.93837579999999,North America,Worldwide
Quebec,Canada,04/17/2020 16:30,16798,688,3068,0,2020-04-18 07:30:00,13042,8485000,52.4760892,-71.8258668,North America,Worldwide
Ontario,Canada,04/17/2020 16:30,10056,486,4194,0,2020-04-18 07:30:00,5376,14570000,50.000678,-86.000977,North America,Worldwide
Alberta,Canada,04/17/2020 16:30,2158,50,914,0,2020-04-18 07:30:00,1194,4371000,55.001251,-115.00213600000001,North America,Worldwide
British Columbia,Canada,04/17/2020 16:30,1575,77,983,0,2020-04-18 07:30:00,515,5071000,55.001251,-125.00244099999999,North America,Worldwide
Nova Scotia,Canada,04/17/2020 16:30,606,4,177,0,2020-04-18 07:30:00,425,971395,45.1960403,-63.1653789,North America,Worldwide
Saskatchewan,Canada,04/17/2020 16:30,307,4,228,0,2020-04-18 07:30:00,75,1174000,55.5321257,-106.1412243,North America,Worldwide
Newfoundland and Labrador,Canada,04/17/2020 16:30,256,3,176,0,2020-04-18 07:30:00,77,521542,53.821732700000005,-61.2295532,North America,Worldwide
Manitoba,Canada,04/17/2020 16:30,250,5,121,0,2020-04-18 07:30:00,124,1369000,55.001251,-97.001038,North America,Worldwide
New Brunswick,Canada,04/17/2020 16:30,117,0,80,0,2020-04-18 07:30:00,37,776827,46.500283,-66.75018299999999,North America,Worldwide
Prince Edward Island,Canada,04/17/2020 16:30,26,0,23,0,2020-04-18 07:30:00,3,156947,46.5035454,-63.595517099999995,North America,Worldwide
Yukon,Canada,04/17/2020 16:30,8,0,6,0,2020-04-18 07:30:00,2,35874,63.000147,-136.002502,North America,Worldwide
Northwest Territories,Canada,04/17/2020 16:30,5,0,3,0,2020-04-18 07:30:00,2,44826,65.00000039999999,-118.0,North America,Worldwide
,US,04/17/2020 16:30,0,0,0,3506906,2020-04-18 07:30:00,0,0,39.7837304,-100.4458825,North America,Worldwide
,Canada,04/17/2020 16:30,0,0,0,503003,2020-04-18 07:30:00,0,0,61.0666922,-107.9917071,North America,Worldwide
,Spain,04/17/2020 16:30,188093,19613,74797,930230,2020-04-18 07:30:00,93683,46660000,39.3262345,-4.838064900000001,Europe,Worldwide
,Italy,04/17/2020 16:30,172434,22745,42727,1244108,2020-04-18 07:30:00,106962,60480000,45.6209,9.768892999999998,Europe,Worldwide
,France,04/17/2020 16:30,147969,18681,34420,463662,2020-04-18 07:30:00,94868,66990000,46.603353999999996,1.8883334999999999,Europe,Worldwide
,Germany,04/17/2020 16:30,139702,4203,81800,1728357,2020-04-18 07:30:00,53699,82790000,51.0834196,10.4234469,Europe,Worldwide
,UK,04/17/2020 16:30,108692,14576,626,438991,2020-04-18 07:30:00,93490,66440000,54.702354500000006,-3.2765752999999997,Europe,Worldwide
,Iran,04/17/2020 16:30,79494,4958,54064,319879,2020-04-18 07:30:00,20472,81160000,32.6475314,54.56435160000001,Asia,Worldwide
,Turkey,04/17/2020 16:30,78546,1769,8631,558413,2020-04-18 07:30:00,68146,80810000,38.959759399999996,34.9249653,Asia,Worldwide
Brussels,Belgium,04/17/2020 16:30,36138,5163,7961,139387,2020-04-18 07:30:00,23014,11400000,50.8436709,4.3674367,Europe,Worldwide
,Brazil,04/17/2020 16:30,33682,2141,14026,62985,2020-04-18 07:30:00,17515,209300000,-10.333333300000001,-53.2,South America,Worldwide
,Russia,04/17/2020 16:30,32008,273,2590,1718019,2020-04-18 07:30:00,29145,144500000,64.6863136,97.7453061,Europe,Worldwide
,Netherlands,04/17/2020 16:30,30449,3459,250,154911,2020-04-18 07:30:00,26740,17180000,52.500169799999995,5.7480820999999995,Europe,Worldwide
,Switzerland,04/17/2020 16:30,27078,1327,16400,206400,2020-04-18 07:30:00,9351,8570000,46.7985624,8.231973599999998,Europe,Worldwide
,Portugal,04/17/2020 16:30,19022,657,519,221049,2020-04-18 07:30:00,17846,10290000,40.0332629,-7.889626299999999,Europe,Worldwide
,Austria,04/17/2020 16:30,14586,431,9704,169272,2020-04-18 07:30:00,4451,8822000,47.2000338,13.199959,Europe,Worldwide
,Ireland,04/17/2020 16:30,13980,530,77,90646,2020-04-18 07:30:00,13373,4830000,52.865196,-7.9794599,Europe,Worldwide
,India,04/17/2020 16:30,13835,452,1777,335123,2020-04-18 07:30:00,11606,1339000000,22.3511148,78.6677428,Asia,Worldwide
,Peru,04/17/2020 16:30,13489,300,6541,127513,2020-04-18 07:30:00,6648,32170000,-6.8699697,-75.0458515,South America,Worldwide
,Sweden,04/17/2020 16:30,13216,1400,550,74600,2020-04-18 07:30:00,11266,10120000,59.67497120000001,14.5208584,Europe,Worldwide
,Israel,04/17/2020 16:30,12982,151,3126,187250,2020-04-18 07:30:00,9705,8712000,31.531311300000002,34.8667654,Asia,Worldwide
,South Korea,04/17/2020 16:30,10635,230,7829,546463,2020-04-18 07:30:00,2576,51470000,35.8713,128.6018,Asia,Worldwide
,Chile,04/17/2020 16:30,9252,116,3621,103873,2020-04-18 07:30:00,5515,18050000,-31.7613365,-71.3187697,South America,Worldwide
,Japan,04/17/2020 16:30,9231,190,935,100703,2020-04-18 07:30:00,8106,126800000,36.5748441,139.2394179,Asia,Worldwide
,Ecuador,04/17/2020 16:30,8450,421,838,27868,2020-04-18 07:30:00,7191,16620000,-1.3397668,-79.3666965,South America,Worldwide
